2020-04-09 11:02:31 
Start install: C:\server\www\shopclear\tmp\JoomShopping_black_template_QS_1.0.1.zip IP:127.0.0.1 UID:567
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_top_rating/css/default.css
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_top_rating/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/helper.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/mod_jshopping_tophits_products.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/mod_jshopping_tophits_products.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/css/default.css
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/element/categories.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_tophits_products/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_wishlist/mod_jshopping_wishlist.php
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_wishlist/mod_jshopping_wishlist.xml
2020-04-09 11:02:31 Copy file: /modules/mod_jshopping_wishlist/tmpl/default.php
2020-04-09 11:02:31 Copy file: /modules/mod_recent_comments/mod_recent_comments.php
2020-04-09 11:02:31 Copy file: /modules/mod_recent_comments/mod_recent_comments.xml
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/component.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/error.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/helper.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/index.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/offline.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/templateDetails.xml
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/template_preview.png
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/template_thumbnail.png
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/bootstrap.min.css
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/calendar.png
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/joomla.css
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/offline.css
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/template.css
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/user.css
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/css/warning.css
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Black.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-BlackItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Bold.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-BoldItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-ExtraBold.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-ExtraBoldItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-ExtraLight.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-ExtraLightItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Italic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Light.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-LightItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Medium.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-MediumItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Regular.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-SemiBold.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-SemiBoldItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-Thin.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/Montserrat-ThinItalic.ttf
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/fonts/OFL.txt
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/html/modules.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/html/layouts/joomla/system/message.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/html/mod_jshopping_currencies/default.php
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/images/page-home/wopshopdemo.png
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/images/system/index.html
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/js/template.js
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/language/en-GB/en-GB.tpl_foo.ini
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/language/en-GB/en-GB.tpl_foo.sys.ini
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/less/icomoon.less
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/less/template.less
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/less/template_rtl.less
2020-04-09 11:02:31 Copy file: /templates/joomshopping_black_template/less/variables.less
2020-04-09 11:03:02 
Start install: C:\server\www\shopclear\tmp\addon_jshopping_menu_builder_auto_2.1.8.zip IP:127.0.0.1 UID:567
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/controllers/addon_menu_builder.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/lang/addon_jshopping_menu_builder/de-DE.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/lang/addon_jshopping_menu_builder/en-GB.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/lang/addon_jshopping_menu_builder/ru-RU.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/models/addon_menu_builder.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/views/addon_menu_builder_edit/view.html.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/views/addon_menu_builder_edit/tmpl/edit.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/views/addon_menu_builder_edit/tmpl/index.html
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/views/addon_menu_builder_list/view.html.php
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/views/addon_menu_builder_list/tmpl/index.html
2020-04-09 11:03:02 Copy file: /administrator/components/com_jshopping/views/addon_menu_builder_list/tmpl/list.php
2020-04-09 11:03:02 Copy file: /administrator/language/de-DE/de-DE.com_jshopping_addon_menu_builder.ini
2020-04-09 11:03:02 Copy file: /administrator/language/en-GB/en-GB.com_jshopping_addon_menu_builder.ini
2020-04-09 11:03:02 Copy file: /administrator/language/ru-RU/ru-RU.com_jshopping_addon_menu_builder.ini
2020-04-09 11:03:02 Copy file: /components/com_jshopping/addons/jshopping_menu_builder/index.html
2020-04-09 11:03:02 Copy file: /components/com_jshopping/addons/jshopping_menu_builder/uninstall.php
2020-04-09 11:03:02 Copy file: /plugins/jshoppingmenu/jshopping_menu_builder/jshopping_menu_builder.php
2020-04-09 11:03:02 Copy file: /plugins/jshoppingmenu/jshopping_menu_builder/jshopping_menu_builder.xml
2020-04-09 11:03:20 
Start install: C:\server\www\shopclear\tmp\addon_check_db_1.0.11.zip IP:127.0.0.1 UID:567
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/controllers/check_db.php
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/css/check-db.css
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/lang/check_db/de-DE.php
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/lang/check_db/en-GB.php
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/lang/check_db/ru-RU.php
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/models/check_db.php
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/views/check_db/view.html.php
2020-04-09 11:03:20 Copy file: /administrator/components/com_jshopping/views/check_db/tmpl/default.php
2020-04-09 11:03:20 Copy file: /components/com_jshopping/addons/check_db/uninstall.php
2020-04-09 11:03:20 Copy file: /components/com_jshopping/files/check_db/v_3/joomshoping.xml
2020-04-09 11:03:20 Copy file: /components/com_jshopping/files/check_db/v_4/joomshoping.xml
2020-04-09 11:03:20 Copy file: /plugins/jshoppingmenu/check_db/check_db.php
2020-04-09 11:03:20 Copy file: /plugins/jshoppingmenu/check_db/check_db.xml
2020-04-09 11:03:38 
Start install: C:\server\www\shopclear\tmp\addon_invoice_number_1.1.0.zip IP:127.0.0.1 UID:567
2020-04-09 11:03:38 Copy file: /components/com_jshopping/addons/add_finished_order_number/config.tmpl.php
2020-04-09 11:03:38 Copy file: /components/com_jshopping/addons/add_finished_order_number/uninstall.php
2020-04-09 11:03:38 Copy file: /components/com_jshopping/lang/addon_finished_order_number/de-DE.php
2020-04-09 11:03:38 Copy file: /components/com_jshopping/lang/addon_finished_order_number/en-GB.php
2020-04-09 11:03:38 Copy file: /components/com_jshopping/lang/addon_finished_order_number/ru-RU.php
2020-04-09 11:03:38 Copy file: /plugins/jshoppingadmin/add_finished_order_number/add_finished_order_number.php
2020-04-09 11:03:38 Copy file: /plugins/jshoppingadmin/add_finished_order_number/add_finished_order_number.xml
2020-04-09 11:03:38 Copy file: /plugins/jshoppingorder/finished_order_number/finished_order_number.php
2020-04-09 11:03:38 Copy file: /plugins/jshoppingorder/finished_order_number/finished_order_number.xml
2020-04-09 11:03:54 
Start install: C:\server\www\shopclear\tmp\jshop_responsive_template_1.0.9.zip IP:127.0.0.1 UID:567
2020-04-09 11:03:54 Copy file: /components/com_jshopping/css/responsive.css
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/cart/cart.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/cart/checkout.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/cart/wishlist.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/category/category_default.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/category/maincategory.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/category/products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/adress.js.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/adress.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/finish.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/menu.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/orderemail.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/payments.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/previewfinish.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/checkout/shippings.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/content/content.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/list_products/block_pagination.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/list_products/form_filters.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/list_products/list_products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/list_products/no_products.php
2020-04-09 11:03:54 Copy file: /components/com_jshopping/templates/responsive/list_products/product.php
